movie_id,gross
tt0475290,63647656
tt0478970,519311965
tt0490215,23834809
tt0810819,64191523
tt0837563,113118226
tt10059518,44331465
tt10065694,7792716
tt10250750,112367881
tt1025100,173469516
tt10288566,12745392
tt10362466,47990414
tt1072748,44019588
tt10773090,37389889
tt1086064,6274027
tt10886166,9458590
tt1124037,25035950
tt1206885,91490353
tt1211837,677718395
tt1226837,31711319
tt1285009,31039126
tt1289401,229147509
tt1298644,97409779
tt1308728,27506452
tt1485796,434993183
tt1489887,24959607
tt1536537,27975429
tt1540011,45173154
tt1617661,184287723
tt1620680,132675864
tt1620981,203044905
tt1655441,65663276
tt1712261,23177948
tt1727824,903655259
tt1730768,26152835
tt1754656,97571250
tt1781922,54418872
tt1790809,794861794
tt1825683,1346913161
tt1838556,31220247
tt1935859,296482446
tt1961175,67234188
tt1979376,1073394593
tt1979388,332207671
tt2005151,86434523
tt2006295,27972023
tt2025690,52099090
tt2066051,195320400
tt2072233,32917353
tt2076298,176345966
tt2080374,34441873
tt2126357,72282227
tt2140379,31807156
tt2224026,386041607
tt2226597,62832209
tt2277860,1028570889
tt2380307,807816196
tt2395427,1402805868
tt2452042,246233113
tt2543164,203388186
tt2567026,299457024
tt2582782,37879877
tt2652118,38659039
tt2660888,343471816
tt2702920,8721243
tt2752772,53329150
tt2788732,143695338
tt2800050,25730120
tt2888046,156954938
tt2932536,62187529
tt2938956,72629670
tt2948356,1023784195
tt2948372,121903885
tt3065204,321370008
tt3077214,31972096
tt3095734,64493915
tt3316948,27262374
tt3332064,128988320
tt3385516,543934105
tt3411444,296069199
tt3416532,47309313
tt3416828,408579038
tt3460252,155760117
tt3498820,1153296293
tt3501632,853977126
tt3521126,29820616
tt3521164,643331111
tt3569230,42972994
tt3606752,383930656
tt3606756,1242805359
tt3691740,195243411
tt3715320,27391084
tt3722070,41387687
tt3748528,1056057273
tt3774114,37357216
tt3778644,392924807
tt3799694,71261763
tt3896102,35704046
tt3896198,863756051
tt4016934,37692886
tt4034228,78988148
tt4126476,69497587
tt4136084,48902953
tt4154664,1128274794
tt4154756,2048359754
tt4154796,2799439100
tt4364194,23712090
tt4513674,43763247
tt4520988,1450026933
tt4535650,31994323
tt4550098,30311857
tt4559006,31668920
tt4560436,66308758
tt4575576,197744377
tt4624424,183679278
tt4629266,25081168
tt4669186,23591043
tt4682786,88616021
tt4685554,24644317
tt4686844,24646055
tt4777008,491730089
tt4786282,149368835
tt4824302,48782670
tt4844148,35487190
tt4846340,235956898
tt4925292,78965611
tt4981636,23316139
tt5028340,349537494
tt5074352,303723636
tt5095030,622674139
tt5104604,64241499
tt5215952,49851770
tt5317732,97571250
tt5323662,30277098
tt5439796,48453605
tt5456546,28733523
tt5462602,56411585
tt5478478,35669017
tt5523010,173961069
tt5580390,195243464
tt5592248,27869129
tt5700672,92742323
tt5719700,37270721
tt5727208,50023780
tt5813366,48825526
tt5848272,529323962
tt5884960,386041607
tt5956100,87320000
tt5998744,30381402
tt6003368,40140972
tt6095472,147792047
tt6107548,22386555
tt6189022,146661977
tt6193408,43100248
tt6266538,76073488
tt6306064,59945012
tt6317962,25672406
tt6324278,188623517
tt6348138,26565710
tt6394270,61404394
tt6450804,261119292
tt6452574,76693052
tt6513120,41503392
tt6587640,49276818
tt6588966,26055222
tt6595896,37552144
tt6751668,258098332
tt6769508,32783733
tt6788942,44560421
tt6791096,94539426
tt6811018,32140970
tt6850820,53918723
tt6869538,90040771
tt6900448,28756961
tt6910020,36075317
tt7002100,807816196
tt7134096,5989583
tt7139936,23805899
tt7146812,141940042
tt7183578,188116796
tt7218518,29045020
tt7329656,47582563
tt7547410,120597108
tt7549996,45701880
tt7605074,699856699
tt7775622,29390279
tt7946836,74922830
tt8028526,96845907
tt8075192,67999335
tt8108230,23740788
tt8242084,10200000
tt8333746,23841090
tt8364368,91542097
tt8372368,195320400
tt8633478,5184368
tt8637428,23076657
tt8663516,44907074
tt8772262,47850980
tt8774798,9766489
tt8856470,27347118
tt8946378,312897920
tt9086228,22304357
tt9204164,10987975
tt9257932,74922830
tt9537292,28477890
tt9779516,16069730
