"MOVIEID","TITLE","YEAR","ADULT_FLAG","IMDBRATINGS","ROTTENTOMATOESRATINGS"
"tt3385516","X-Men: Apocalypse",2016,"Non-Adult",68,80
"tt3401748","Oddball",2015,"Non-Adult",65,60
"tt3405236","Raees",2017,"Adult",66,73
"tt3410408","Rocky Handsome",2016,"Adult",68,58
"tt3411444","Ferdinand",2017,"Non-Adult",67,72
"tt3415992","The Time of Their Lives",2017,"Non-Adult",61,51
"tt3416532","A Monster Calls",2016,"Non-Adult",74,76
"tt3416828","Ice Age: Collision Course",2016,"Non-Adult",57,69
"tt3447364","Detective Byomkesh Bakshy!",2015,"Adult",76,64
"tt3451230","High Strung",2016,"Non-Adult",63,63
"tt3451984","Another Time",2018,"Adult",46,48
"tt3453964","Jugni",2016,"Non-Adult",62,36
"tt3458510","Dude",2018,"Adult",51,53
"tt3460252","The Hateful Eight",2015,"Adult",78,85
"tt3481000","Chocolate City",2015,"Adult",40,45
"tt3481634","Inconceivable",2017,"Adult",52,59
"tt3482000","A Thousand Junkies",2017,"Adult",61,44
"tt3498820","Captain America: Civil War",2016,"Non-Adult",78,86
"tt3501632","Thor: Ragnarok",2017,"Non-Adult",79,86
"tt3503406","The Whole Truth",2016,"Adult",62,67
"tt3507138","A Girl Like Grace",2015,"Non-Adult",56,50
"tt3511596","Close Range",2015,"Adult",51,47
"tt3521126","The Disaster Artist",2017,"Adult",73,78
"tt3521164","Moana",2016,"Non-Adult",76,83
"tt3547306","Cut Throat City",2020,"Adult",49,53
"tt3553976","Captain Fantastic",2016,"Adult",78,82
"tt3567666","Stratton",2017,"Adult",48,57
"tt3569230","Legend",2015,"Adult",69,75
"tt3588588","Backtrace",2018,"Adult",38,52
"tt3606752","Cars 3",2017,"Non-Adult",67,76
"tt3606756","Incredibles 2",2018,"Non-Adult",75,83
"tt3608930","In a Valley of Violence",2016,"Adult",61,63
"tt3610576","Hope Lost",2015,"Adult",39,50
"tt3614530","Jem and the Holograms",2015,"Non-Adult",42,55
"tt3620846","Happy Birthday",2016,"Adult",52,50
"tt3625516","MindGamers",2015,"Adult",36,45
"tt3650484","Brothers",2015,"Non-Adult",76,54
"tt3654796","Creep 2",2017,"Adult",64,67
"tt3660770","Monkey Kingdom",2015,"Non-Adult",72,61
